"","ENTIDAD_RES","MUNICIPIO_RES","Nombre_Estado","Municipio","UCI","positivos","decesos","municipio","Defunciones_2018","porc_aumento","porc_mortalidad"
"52",12,61,"GUERRERO","TIXTLA DE GUERRERO",4,128,6,"Tixtla de Guerrero",254,0.0236220472440945,0.046875
"53",12,66,"GUERRERO","TLAPA DE COMONFORT",6,163,35,"Tlapa de Comonfort",365,0.0958904109589041,0.214723926380368
"54",12,67,"GUERRERO","TLAPEHUALA",1,64,4,"Tlapehuala",137,0.0291970802919708,0.0625
"55",12,7,"GUERRERO","ARCELIA",1,83,6,"Arcelia",157,0.0382165605095541,0.072289156626506
"56",12,75,"GUERRERO","EDUARDO NERI",18,62,18,"Eduardo Neri",274,0.0656934306569343,0.290322580645161
"57",13,10,"HIDALGO","ATITALAQUIA",3,68,14,"Atitalaquia",138,0.101449275362319,0.205882352941176
"58",13,13,"HIDALGO","ATOTONILCO DE TULA",3,81,18,"Atotonilco de Tula",210,0.0857142857142857,0.222222222222222
"59",13,21,"HIDALGO","EMILIANO ZAPATA",0,76,10,"Emiliano Zapata",90,0.111111111111111,0.131578947368421
"60",13,28,"HIDALGO","HUEJUTLA DE REYES",7,237,30,"Huejutla de Reyes",622,0.0482315112540193,0.126582278481013
"61",13,3,"HIDALGO","ACTOPAN",3,80,16,"Actopan",335,0.0477611940298507,0.2
"62",13,30,"HIDALGO","IXMIQUILPAN",1,78,17,"Ixmiquilpan",556,0.0305755395683453,0.217948717948718
"63",13,48,"HIDALGO","PACHUCA DE SOTO",32,1127,140,"Pachuca de Soto",1581,0.0885515496521189,0.124223602484472
"64",13,51,"HIDALGO","MINERAL DE LA REFORMA",5,402,31,"Mineral de la Reforma",619,0.0500807754442649,0.0771144278606965
"65",13,52,"HIDALGO","SAN AGUSTÍN TLAXIACA",3,78,17,"San Agustín Tlaxiaca",177,0.096045197740113,0.217948717948718
"66",13,61,"HIDALGO","TEPEAPULCO",2,215,34,"Tepeapulco",288,0.118055555555556,0.158139534883721
"67",13,63,"HIDALGO","TEPEJI DEL RÍO DE OCAMPO",4,179,30,"Tepeji del Río de Ocampo",429,0.0699300699300699,0.167597765363128
"68",13,67,"HIDALGO","TEZONTEPEC DE ALDAMA",5,86,22,"Tezontepec de Aldama",294,0.0748299319727891,0.255813953488372
"69",13,69,"HIDALGO","TIZAYUCA",3,452,77,"Tizayuca",537,0.143389199255121,0.170353982300885
"70",13,74,"HIDALGO","TLAXCOAPAN",1,62,15,"Tlaxcoapan",148,0.101351351351351,0.241935483870968
"71",13,75,"HIDALGO","TOLCAYUCA",1,92,15,"Tolcayuca",83,0.180722891566265,0.16304347826087
"72",13,76,"HIDALGO","TULA DE ALLENDE",6,206,45,"Tula de Allende",640,0.0703125,0.218446601941748
"73",13,77,"HIDALGO","TULANCINGO DE BRAVO",16,228,35,"Tulancingo de Bravo",922,0.0379609544468547,0.153508771929825
"74",13,8,"HIDALGO","APAN",4,191,22,"Apan",277,0.0794223826714801,0.115183246073298
"75",13,83,"HIDALGO","ZEMPOALA",3,103,11,"Zempoala",230,0.0478260869565217,0.106796116504854
"76",14,101,"JALISCO","TONALÁ",18,588,61,"Tonalá",2342,0.0260461144321093,0.103741496598639
"77",14,119,"JALISCO","ZACOALCO DE TORRES",5,52,5,"Zacoalco de Torres",206,0.0242718446601942,0.0961538461538462
"78",14,120,"JALISCO","ZAPOPAN",52,1541,112,"Zapopan",6610,0.0169440242057489,0.072680077871512
"79",14,15,"JALISCO","AUTLÁN DE NAVARRO",1,69,6,"Autlán de Navarro",416,0.0144230769230769,0.0869565217391304
"80",14,18,"JALISCO","LA BARCA",0,76,11,"La Barca",441,0.0249433106575964,0.144736842105263
"81",14,23,"JALISCO","ZAPOTLÁN EL GRANDE",7,198,10,"Zapotlán el Grande",668,0.0149700598802395,0.0505050505050505
"82",14,39,"JALISCO","GUADALAJARA",100,3213,469,"Guadalajara",11462,0.0409178153899843,0.145969498910675
"83",14,53,"JALISCO","LAGOS DE MORENO",1,100,12,"Lagos de Moreno",965,0.0124352331606218,0.12
"84",14,63,"JALISCO","OCOTLÁN",1,117,16,"Ocotlán",607,0.0263591433278418,0.136752136752137
"85",14,67,"JALISCO","PUERTO VALLARTA",74,790,91,"Puerto Vallarta",1365,0.0666666666666667,0.115189873417722
"86",14,70,"JALISCO","EL SALTO",9,170,23,"El Salto",900,0.0255555555555556,0.135294117647059
"87",14,73,"JALISCO","SAN JUAN DE LOS LAGOS",2,114,8,"San Juan de los Lagos",412,0.0194174757281553,0.0701754385964912
"88",14,83,"JALISCO","TALA",2,81,12,"Tala",485,0.0247422680412371,0.148148148148148
"89",14,93,"JALISCO","TEPATITLÁN DE MORELOS",2,106,4,"Tepatitlán de Morelos",799,0.00500625782227785,0.0377358490566038
"90",14,97,"JALISCO","TLAJOMULCO DE ZÚÑIGA",15,550,46,"Tlajomulco de Zúñiga",2216,0.0207581227436823,0.0836363636363636
"91",14,98,"JALISCO","SAN PEDRO TLAQUEPAQUE",18,776,104,"San Pedro Tlaquepaque",3441,0.030223772159256,0.134020618556701
"92",15,1,"MÉXICO","ACAMBAY DE RUÍZ CASTAÑEDA",8,86,10,"Acambay",379,0.0263852242744063,0.116279069767442
"93",15,100,"MÉXICO","TEZOYUCA",0,99,11,"Tezoyuca",226,0.0486725663716814,0.111111111111111
