"","ENTIDAD_RES","MUNICIPIO_RES","Nombre_Estado","UCI","positivos","decesos","Nombre_municipio","Defunciones_2018","porc_aumento","CFR_municipal"
"410",20,482,"OAXACA",0,109,12,"Santiago Pinotepa Nacional",279,0.043010752688172,0.110091743119266
"411",20,515,"OAXACA",35,227,35,"Santo Domingo Tehuantepec",431,0.0812064965197216,0.154185022026432
"412",20,539,"OAXACA",1,57,5,"Soledad Etla",24,0.208333333333333,0.087719298245614
"413",20,551,"OAXACA",2,153,19,"Tlacolula de Matamoros",209,0.0909090909090909,0.124183006535948
"414",20,553,"OAXACA",0,64,0,"Tlalixtac de Cabrera",44,0,0
"415",20,565,"OAXACA",8,347,20,"Villa de Zaachila",165,0.121212121212121,0.0576368876080692
"416",20,57,"OAXACA",3,102,13,"Matías Romero Avendaño",289,0.0449826989619377,0.127450980392157
"417",20,570,"OAXACA",1,93,9,"Zimatlán de Álvarez",221,0.0407239819004525,0.0967741935483871
"418",20,59,"OAXACA",2,182,15,"Miahuatlán de Porfirio Díaz",311,0.0482315112540193,0.0824175824175824
"419",20,6,"OAXACA",3,68,7,"Asunción Nochixtlán",152,0.0460526315789474,0.102941176470588
"420",20,63,"OAXACA",2,54,7,"Nazareno Etla",22,0.318181818181818,0.12962962962963
"421",20,67,"OAXACA",34,4451,268,"Oaxaca de Juárez",1795,0.149303621169916,0.060211188496967
"422",20,68,"OAXACA",3,173,9,"Ocotlán de Morelos",188,0.0478723404255319,0.0520231213872832
"423",20,72,"OAXACA",0,76,2,"San José del Progreso",36,0.0555555555555556,0.0263157894736842
"424",20,73,"OAXACA",0,68,8,"Putla Villa de Guerrero",224,0.0357142857142857,0.117647058823529
"425",20,79,"OAXACA",119,484,98,"Salina Cruz",549,0.178506375227687,0.202479338842975
"426",20,83,"OAXACA",0,73,5,"San Agustín de las Juntas",28,0.178571428571429,0.0684931506849315
"427",20,91,"OAXACA",3,79,4,"San Andrés Huayápam",28,0.142857142857143,0.0506329113924051
"428",21,1,"PUEBLA",3,99,22,"Acajete",359,0.0612813370473538,0.222222222222222
"429",21,106,"PUEBLA",9,98,21,"Ocoyucan",172,0.122093023255814,0.214285714285714
"430",21,110,"PUEBLA",0,66,6,"Palmar de Bravo",259,0.0231660231660232,0.0909090909090909
"431",21,114,"PUEBLA",458,19408,2115,"Puebla",10038,0.210699342498506,0.108975680131904
"432",21,119,"PUEBLA",20,883,90,"San Andrés Cholula",546,0.164835164835165,0.101925254813137
"433",21,132,"PUEBLA",26,668,115,"San Martín Texmelucan",846,0.135933806146572,0.172155688622754
"434",21,140,"PUEBLA",10,592,68,"San Pedro Cholula",771,0.0881971465629053,0.114864864864865
"435",21,142,"PUEBLA",1,121,13,"San Salvador el Seco",174,0.0747126436781609,0.107438016528926
"436",21,143,"PUEBLA",4,87,17,"San Salvador el Verde",192,0.0885416666666667,0.195402298850575
"437",21,144,"PUEBLA",2,59,8,"San Salvador Huixcolotla",90,0.0888888888888889,0.135593220338983
"438",21,15,"PUEBLA",8,238,45,"Amozoc",384,0.1171875,0.189075630252101
"439",21,153,"PUEBLA",2,79,9,"Tecali de Herrera",142,0.0633802816901408,0.113924050632911
"440",21,154,"PUEBLA",11,291,55,"Tecamachalco",388,0.141752577319588,0.189003436426117
"441",21,156,"PUEBLA",16,1358,300,"Tehuacán",1557,0.192678227360308,0.220913107511046
"442",21,164,"PUEBLA",17,258,39,"Tepeaca",446,0.0874439461883408,0.151162790697674
"443",21,169,"PUEBLA",1,62,6,"Tepexi de Rodríguez",136,0.0441176470588235,0.0967741935483871
"444",21,174,"PUEBLA",9,573,64,"Teziutlán",618,0.103559870550162,0.111692844677138
"445",21,179,"PUEBLA",4,80,20,"Tlachichuca",155,0.129032258064516,0.25
"446",21,186,"PUEBLA",5,71,17,"Tlatlauquitepec",329,0.0516717325227964,0.23943661971831
"447",21,19,"PUEBLA",20,422,72,"Atlixco",991,0.0726538849646821,0.170616113744076
"448",21,197,"PUEBLA",7,132,21,"Xicotepec",489,0.0429447852760736,0.159090909090909
"449",21,199,"PUEBLA",0,51,13,"Xiutetelco",231,0.0562770562770563,0.254901960784314
"450",21,207,"PUEBLA",4,107,16,"Zacapoaxtla",370,0.0432432432432432,0.149532710280374
"451",21,208,"PUEBLA",4,214,26,"Zacatlán",442,0.0588235294117647,0.121495327102804
"452",21,3,"PUEBLA",3,99,14,"Acatlán",261,0.053639846743295,0.141414141414141
"453",21,34,"PUEBLA",3,98,14,"Coronango",247,0.0566801619433198,0.142857142857143
"454",21,4,"PUEBLA",7,84,10,"Acatzingo",271,0.03690036900369,0.119047619047619
"455",21,41,"PUEBLA",5,416,35,"Cuautlancingo",393,0.089058524173028,0.0841346153846154
